Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment,Transaction Type
BMAX.TO,12.24,2025/04/04,15:59 EDT,-0.89000034,13.28,12.77,12.22,45279,,,,,,,,
ENCC.TO,9.88,2025/04/04,15:59 EDT,-0.72999954,10.28,10.38,9.78,476481,,,,,,,,
HUTE.TO,10.26,2025/04/04,15:59 EDT,-0.6899996,10.91,10.91,10.26,17777,,,,,,,,
ZRE.TO,20.23,2025/04/04,15:59 EDT,-0.7600002,20.81,20.81,20.22,57974,,,,,,,,
VRE.TO,29.53,2025/04/04,15:55 EDT,-0.9299984,30.12,30.12,29.5,9811,,,,,,,,
XRE.TO,14.32,2025/04/04,15:59 EDT,-0.53999996,14.69,14.69,14.3,518021,,,,,,,,
MS,99.83,2025/04/04,16:00 EDT,-8.1,101.54,103.43,97.31,16822748,,,,,,,,
GS,470.81,2025/04/04,16:00 EDT,-40.42,487.0,491.9998,460.0,8095921,,,,,,,,
WFC,60.98,2025/04/04,16:00 EDT,-4.69,62.75,63.57,59.7101,31014999,,,,,,,,
JPM,210.28,2025/04/04,16:00 EDT,-17.01,215.305,217.7,208.93,27136867,,,,,,,,
C,58.13,2025/04/04,16:00 EDT,-4.92,60.25,60.4,56.305,51207209,,,,,,,,
BAC,34.39,2025/04/04,16:00 EDT,-2.83,35.29,35.79,33.67,95717260,,,,,,,,
BRK-B,493.54,2025/04/04,16:00 EDT,-36.62,519.0,520.56,492.98,12578802,,,,,,,,
BRKY.NE,28.76,2025/04/04,15:59 EDT,-2.4899998,30.38,30.38,28.57,131853,,,,,,,,
NA.TO,112.96,2025/04/04,16:00 EDT,-5.550003,116.43,116.64,112.06,3734610,,,,,,,,
CM.TO,80.66,2025/04/04,16:00 EDT,-2.3799973,82.1,81.33,79.43,5148617,,,,,,,,
BMO.TO,127.04,2025/04/04,16:00 EDT,-8.269997,132.65,132.72,126.23,6928436,,,,,,,,
BNS.TO,66.54,2025/04/04,16:00 EDT,-1.6399994,67.3,67.43,65.68,10721542,,,,,,,,
RY.TO,157.82,2025/04/04,16:00 EDT,-4.3899994,159.95,161.49,156.61,8766421,,,,,,,,
TD.TO,81.2,2025/04/04,16:00 EDT,-1.4400024,81.63,81.75,80.11,12697479,,,,,,,,
O,55.15,2025/04/04,16:00 EDT,-1.91,56.33,56.99,55.07,10630231,,,,,,,,
$$CC,,,,,,,,,,,,,,,,
ZWC.TO,17.18,2025/04/04,15:59 EDT,-0.72999954,17.6,17.6,17.1,288908,,,,,,,,
ZWG.TO,29.07,2025/04/04,15:59 EDT,-1.5,29.93,29.96,28.96,22993,,,,,,,,
ZWU.TO,10.71,2025/04/04,15:59 EDT,-0.47000027,11.04,11.16,10.7,625220,,,,,,,,
ZWK.TO,19.55,2025/04/04,15:59 EDT,-1.2000008,21.93,20.2,18.95,207236,,,,,,,,
ZWB.TO,18.08,2025/04/04,15:59 EDT,-0.6499996,18.5,18.5,17.91,431962,,,,,,,,
ZWT.TO,40.93,2025/04/04,15:59 EDT,-2.119999,42.15,42.15,40.87,23701,,,,,,,,
ZPH.TO,13.29,2025/04/04,15:38 EDT,-0.39999962,13.46,13.46,13.22,1821,,,,,,,,
ZEB.TO,38.69,2025/04/04,15:59 EDT,-1.300003,39.32,39.38,38.29,7765356,,,,,,,,
HTA.TO,14.55,2025/04/04,15:59 EDT,-1.0199995,15.84,15.15,14.55,188502,,,,,,,,
HUTL.TO,17.28,2025/04/04,15:59 EDT,-1.0,18.3,18.3,17.28,51601,,,,,,,,
HPF.TO,2.78,2025/04/04,15:59 EDT,-0.26999998,2.95,2.95,2.77,83510,,,,,,,,
MRT-UN.TO,5.48,2025/04/04,15:59 EDT,-0.07000017,5.55,5.57,5.33,140063,,,,,,,,
$$BLANK6,,,,,,,,,,,,,,,,
ARKK,41.94,2025/04/04,16:00 EDT,-3.18,43.11,43.7,40.26,18734131,,,,,,,,
FFND,22.5588,2025/04/04,15:52 EDT,-1.3512,23.07,23.0091,22.5588,16839,,,,,,,,
ZNQ.TO,80.0,2025/04/04,15:59 EDT,-4.239998,82.73,83.02,80.0,56677,,,,,,,,
VFV.TO,128.02,2025/04/04,15:59 EDT,-6.5899963,132.2,132.98,127.84,1244881,,,,,,,,
XEQT.TO,30.61,2025/04/04,15:59 EDT,-1.6300011,32.76,31.75,30.58,1422072,,,,,,,,
CARS.TO,16.38,2025/04/04,15:40 EDT,-0.9300003,16.23,16.38,16.2,1243,,,,,,,,
QQQ,422.67,2025/04/04,16:00 EDT,-27.98999,438.01,440.35,422.67,115268990,,,,,,,,
TQQQ,41.09,2025/04/04,16:00 EDT,-9.209999,45.99,46.78,41.03,255776572,,,,,,,,
QLD,71.81,2025/04/04,16:00 EDT,-9.99001,77.18,77.94,71.77,10700239,,,,,,,,
SSO,67.17,2025/04/04,16:00 EDT,-9.13,72.27,72.87,67.02,8311348,,,,,,,,
UPRO,53.82,2025/04/04,16:00 EDT,-11.31,59.97,60.755,53.28,25075580,,,,,,,,
SCHD,25.28,2025/04/04,16:00 EDT,-1.45,26.22,26.3,25.23,45283350,,,,,,,,
DGRO,56.43,2025/04/04,16:00 EDT,-3.27,58.54,58.73,56.34,6749269,,,,,,,,
SPHD,46.13,2025/04/04,16:00 EDT,-2.56,48.19,48.29,46.11,4134288,,,,,,,,
JEPI,52.14,2025/04/04,16:00 EDT,-3.07,54.12,54.33,52.1,15078969,,,,,,,,
QQCL.TO,19.5,2025/04/04,15:59 EDT,-1.2600002,20.68,20.68,19.47,191644,,,,,,,,
UTES.TO,9.03,2025/04/04,15:59 EDT,-0.32000065,9.32,9.34,9.03,78680,,,,,,,,
LLHE-U.TO,8.12,2025/04/04,10:38 EDT,-0.6000004,8.26,8.26,8.12,724,,,,,,,,
NVHE-U.TO,7.09,2025/04/04,15:47 EDT,-0.6499996,7.98,7.33,6.82,4049,,,,,,,,
QDTE,30.93,2025/04/04,16:00 EDT,-1.97,32.13,32.1601,30.93,820730,,,,,,,,
